paradigm,n_rows,failure_rate,generator_output_tokens_mean,generator_output_tokens_std,metric_n_samples_mean,metric_n_samples_std,selfcheck_sample_tokens_mean_mean,selfcheck_sample_tokens_mean_std,detection_overhead_ms_mean,detection_overhead_ms_std,metric_n_claims_mean,metric_n_claims_std,n_retrieved_topk_mean,n_retrieved_topk_std,metric_index_size_mean,metric_index_size_std,metric_vector_store_mb_mean,metric_vector_store_mb_std,judge_prompt_tokens_mean,judge_prompt_tokens_std,metric_judge_output_tokens_mean,metric_judge_output_tokens_std
selfcheckgpt,200,0.0,204.41,99.68403298503128,5.0,0.0,183.64199999999997,52.134386032974206,36717.68242962505,10377.267306584217,,,,,,,,,,,,
rag_verification,200,0.0,204.41,99.68403298503128,,,,,15.853918035145398,3.723853785605842,10.52,6.3046285940206435,3.0,0.0,100.0,0.0,0.146484375,0.0,,,,
llm_as_judge,200,0.09,204.41,99.68403298503128,,,,,2214.8027158850164,769.648823494849,,,,,,,,,242.77,99.85254002149229,55.07,19.096293939166713
