paradigm,n_rows,failure_rate,generator_output_tokens_mean,generator_output_tokens_std,metric_n_samples_mean,metric_n_samples_std,selfcheck_sample_tokens_mean_mean,selfcheck_sample_tokens_mean_std,detection_overhead_ms_mean,detection_overhead_ms_std,metric_n_claims_mean,metric_n_claims_std,n_retrieved_topk_mean,n_retrieved_topk_std,metric_index_size_mean,metric_index_size_std,metric_vector_store_mb_mean,metric_vector_store_mb_std,judge_prompt_tokens_mean,judge_prompt_tokens_std,metric_judge_output_tokens_mean,metric_judge_output_tokens_std
selfcheckgpt,100,0.0,235.75,85.77046829954487,3.0,0.0,204.0533333333333,52.53086784280974,21298.918436530017,5470.165385739337,,,,,,,,,,,,
rag_verification,100,0.0,235.75,85.77046829954487,,,,,18.494460959948356,4.29442704344664,11.66,5.839987546686598,3.0,0.0,100.0,0.0,0.146484375,0.0,,,,
llm_as_judge,100,0.03,235.75,85.77046829954487,,,,,2071.5588480299916,501.7430983142507,,,,,,,,,274.18,85.96186375481875,59.92,13.683788240325145
